as_of_date,loan_id,auto_direct_indirect,auto_new_used,original_balance,current_balance,current_rate,origination_date,maturity_date,original_term_months,orig_fico,orig_ltv,dti_back_end,state,year,days_past_due,product_type,box_id,in_box_flag,exclusion_reason
2025-10-19,53,AUTO_DIRECT,AUTO_USED,14855,121661.43,13.27,2024-09-25,2026-10-25,25.0,698.0,60.65,5.14,TX,2018,0,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,62,AUTO_INDIRECT,AUTO_NEW,98194,94436.4,12.47,2024-01-30,2025-10-30,21.0,783.0,77.82,16.42,TX,2020,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,70,AUTO_DIRECT,AUTO_USED,103778,110015.03,13.17,2021-09-09,2024-12-09,39.0,730.0,89.26,17.41,TX,2015,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,71,AUTO_DIRECT,AUTO_NEW,19369,15919.01,13.15,2023-09-09,2030-04-09,79.0,674.0,101.48,17.19,TX,2023,21,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,73,AUTO_DIRECT,AUTO_USED,52011,126202.91,8.56,2019-08-10,2021-03-10,19.0,703.0,30.54,16.93,TX,2009,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,75,AUTO_DIRECT,AUTO_NEW,68617,38537.89,15.58,2020-02-12,2022-11-12,33.0,756.0,119.61,28.89,TX,2024,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,78,AUTO_INDIRECT,AUTO_NEW,37285,10123.58,12.63,2019-10-18,2020-11-18,13.0,759.0,79.01,2.4,TX,2005,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,84,AUTO_DIRECT,AUTO_NEW,30506,78488.75,4.4,2020-07-05,2021-10-05,15.0,689.0,8.01,6.61,TX,2016,0,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,85,AUTO_DIRECT,AUTO_NEW,62338,35761.2,17.73,2020-02-09,2025-10-09,68.0,675.0,112.28,30.78,TX,2015,0,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,86,AUTO_DIRECT,AUTO_NEW,77408,54837.24,11.96,2020-12-18,2022-10-18,22.0,769.0,110.23,17.17,TX,2017,21,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,93,AUTO_INDIRECT,AUTO_NEW,31214,90710.44,10.6,2020-02-23,2026-05-23,75.0,728.0,7.14,22.05,TX,2012,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,106,AUTO_INDIRECT,AUTO_USED,10046,110751.99,8.83,2025-05-23,2028-06-23,37.0,700.0,93.45,17.15,TX,2015,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,108,AUTO_INDIRECT,AUTO_NEW,70686,94062.46,7.35,2019-09-07,2026-03-07,78.0,673.0,60.14,6.31,TX,2021,21,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,112,AUTO_INDIRECT,AUTO_NEW,58890,108271.43,6.44,2019-07-23,2022-10-23,39.0,722.0,79.67,8.42,TX,2009,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,122,AUTO_INDIRECT,AUTO_NEW,144028,119125.17,8.42,2019-06-03,2024-08-03,62.0,724.0,75.94,15.35,TX,2015,12,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,136,AUTO_DIRECT,AUTO_NEW,25012,68224.46,15.82,2020-03-16,2024-04-16,49.0,707.0,96.37,27.65,TX,2011,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,168,AUTO_DIRECT,AUTO_USED,36790,107489.39,13.51,2022-11-12,2025-12-12,37.0,741.0,27.75,16.68,TX,2007,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,178,AUTO_DIRECT,AUTO_USED,36861,140729.63,12.17,2023-07-18,2027-07-18,48.0,747.0,45.48,22.57,TX,2015,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,186,AUTO_DIRECT,AUTO_NEW,18698,94971.45,12.51,2019-10-06,2025-12-06,74.0,775.0,7.4,27.91,TX,2007,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,196,AUTO_DIRECT,AUTO_USED,54723,113279.73,11.8,2019-08-16,2025-12-16,76.0,680.0,47.52,24.56,TX,2020,0,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,212,AUTO_INDIRECT,AUTO_NEW,131759,142222.93,12.49,2023-12-14,2027-03-14,39.0,771.0,80.98,32.47,TX,2017,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,222,AUTO_DIRECT,AUTO_USED,62603,113494.0,13.62,2022-12-21,2024-03-21,15.0,689.0,10.07,32.12,TX,2016,13,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,242,AUTO_INDIRECT,AUTO_USED,82690,12107.55,10.5,2019-02-18,2020-07-18,17.0,663.0,9.64,39.53,TX,2012,0,AUTO_USED,AUTO_USED_660_669,True,None
2025-10-19,247,AUTO_INDIRECT,AUTO_NEW,19232,74679.06,13.92,2025-08-04,2028-11-04,39.0,777.0,10.06,9.94,TX,2012,19,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,251,AUTO_DIRECT,AUTO_NEW,133897,15254.74,10.17,2024-12-29,2027-06-29,30.0,709.0,87.96,4.6,TX,2009,24,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,252,AUTO_INDIRECT,AUTO_NEW,68073,148141.16,16.32,2024-08-10,2027-07-10,35.0,746.0,32.6,12.74,TX,2010,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,267,AUTO_DIRECT,AUTO_USED,132806,6488.5,1.05,2020-01-29,2026-11-29,82.0,716.0,35.21,13.97,TX,2013,29,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,269,AUTO_DIRECT,AUTO_NEW,62996,117072.22,13.05,2019-09-26,2025-05-26,68.0,690.0,63.2,9.05,TX,2006,0,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,277,AUTO_INDIRECT,AUTO_NEW,81250,76726.56,13.66,2020-09-12,2025-06-12,57.0,680.0,26.88,16.63,TX,2019,0,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,278,AUTO_DIRECT,AUTO_USED,132512,64592.71,13.43,2024-10-16,2030-08-16,70.0,718.0,73.71,9.81,TX,2019,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,280,AUTO_DIRECT,AUTO_NEW,27597,91786.69,17.18,2024-12-31,2026-09-30,21.0,796.0,6.27,29.51,TX,2017,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,286,AUTO_DIRECT,AUTO_NEW,42326,128236.26,3.41,2020-06-09,2025-07-09,61.0,769.0,8.62,18.53,TX,2010,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,290,AUTO_DIRECT,AUTO_USED,90780,41528.9,6.96,2025-03-12,2032-03-12,84.0,670.0,85.46,7.99,TX,2021,0,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,291,AUTO_DIRECT,AUTO_NEW,139228,103203.5,7.49,2024-06-23,2027-12-23,42.0,791.0,86.43,24.23,TX,2022,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,294,AUTO_INDIRECT,AUTO_NEW,65642,2403.68,2.62,2024-02-11,2026-01-11,23.0,789.0,64.7,8.44,TX,2009,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,295,AUTO_INDIRECT,AUTO_USED,56686,81090.2,10.0,2019-11-29,2024-05-29,54.0,747.0,108.69,21.19,TX,2015,24,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,300,AUTO_INDIRECT,AUTO_NEW,92283,89501.18,1.78,2021-12-01,2026-06-01,54.0,768.0,27.0,23.95,TX,2019,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,310,AUTO_INDIRECT,AUTO_NEW,79374,7613.51,4.78,2024-12-13,2026-09-13,21.0,710.0,113.9,10.11,TX,2011,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,318,AUTO_DIRECT,AUTO_NEW,47431,10321.72,8.06,2023-07-25,2026-09-25,38.0,748.0,74.95,23.09,TX,2006,28,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,322,AUTO_INDIRECT,AUTO_USED,21043,23434.4,9.41,2022-09-30,2025-04-30,31.0,682.0,21.14,21.35,TX,2024,0,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,323,AUTO_INDIRECT,AUTO_NEW,19759,65442.29,15.78,2019-12-03,2026-11-03,83.0,690.0,110.82,7.87,TX,2016,0,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,334,AUTO_INDIRECT,AUTO_USED,38586,65257.88,6.15,2024-09-24,2027-06-24,33.0,660.0,81.73,22.97,TX,2018,0,AUTO_USED,AUTO_USED_660_669,True,None
2025-10-19,339,AUTO_DIRECT,AUTO_NEW,114975,118319.17,2.4,2025-06-23,2031-04-23,70.0,706.0,66.44,15.07,TX,2020,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,369,AUTO_DIRECT,AUTO_NEW,137349,132472.88,3.04,2021-08-09,2022-09-09,13.0,800.0,7.05,17.66,TX,2013,19,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,377,AUTO_DIRECT,AUTO_NEW,46176,62578.23,10.23,2024-11-26,2027-06-26,31.0,777.0,54.5,31.63,TX,2019,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,385,AUTO_DIRECT,AUTO_USED,23691,1270.04,4.55,2020-03-06,2025-12-06,69.0,682.0,76.0,22.59,TX,2020,0,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,391,AUTO_DIRECT,AUTO_USED,2537,14870.59,5.42,2020-11-13,2022-10-13,23.0,744.0,104.07,21.85,TX,2013,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,396,AUTO_INDIRECT,AUTO_USED,149168,127016.46,12.38,2019-03-09,2025-10-09,79.0,716.0,74.54,27.65,TX,2008,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,399,AUTO_DIRECT,AUTO_USED,93958,105270.77,17.39,2023-05-02,2024-08-02,15.0,740.0,9.47,3.46,TX,2015,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,404,AUTO_DIRECT,AUTO_NEW,124670,60554.1,10.64,2025-01-12,2031-04-12,75.0,774.0,55.38,19.64,TX,2025,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
