as_of_date,loan_id,auto_direct_indirect,auto_new_used,original_balance,current_balance,current_rate,origination_date,maturity_date,original_term_months,orig_fico,orig_ltv,dti_back_end,state,year,days_past_due,product_type,box_id,in_box_flag,exclusion_reason
2025-10-19,53,AUTO_DIRECT,AUTO_USED,14855,121661.43,13.27,2024-09-25,2026-10-25,25.0,698.0,60.65,5.14,TX,2018,0,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,71,AUTO_DIRECT,AUTO_NEW,19369,15919.01,13.15,2023-09-09,2030-04-09,79.0,674.0,101.48,17.19,TX,2023,21,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,106,AUTO_INDIRECT,AUTO_USED,10046,110751.99,8.83,2025-05-23,2028-06-23,37.0,700.0,93.45,17.15,TX,2015,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,108,AUTO_INDIRECT,AUTO_NEW,70686,94062.46,7.35,2019-09-07,2026-03-07,78.0,673.0,60.14,6.31,TX,2021,21,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,178,AUTO_DIRECT,AUTO_USED,36861,140729.63,12.17,2023-07-18,2027-07-18,48.0,747.0,45.48,22.57,TX,2015,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,310,AUTO_INDIRECT,AUTO_NEW,79374,7613.51,4.78,2024-12-13,2026-09-13,21.0,710.0,113.9,10.11,TX,2011,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,318,AUTO_DIRECT,AUTO_NEW,47431,10321.72,8.06,2023-07-25,2026-09-25,38.0,748.0,74.95,23.09,TX,2006,28,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,334,AUTO_INDIRECT,AUTO_USED,38586,65257.88,6.15,2024-09-24,2027-06-24,33.0,660.0,81.73,22.97,TX,2018,0,AUTO_USED,AUTO_USED_660_669,True,None
2025-10-19,435,AUTO_INDIRECT,AUTO_NEW,56284,57452.91,5.8,2022-03-30,2027-07-30,64.0,744.0,103.54,19.66,TX,2019,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,467,AUTO_DIRECT,AUTO_USED,67998,110787.6,13.45,2021-02-21,2026-09-21,67.0,746.0,82.89,19.14,TX,2021,12,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,523,AUTO_DIRECT,AUTO_USED,73394,139755.64,5.37,2025-05-04,2028-10-04,41.0,671.0,50.29,22.39,TX,2016,0,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,550,AUTO_INDIRECT,AUTO_USED,15572,123402.14,1.02,2024-10-01,2026-09-01,23.0,731.0,45.07,11.79,TX,2019,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,571,AUTO_DIRECT,AUTO_USED,7438,134967.26,3.5,2023-08-04,2026-10-04,38.0,690.0,104.73,7.35,TX,2011,22,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,596,AUTO_DIRECT,AUTO_USED,6242,55383.79,7.73,2022-06-28,2027-11-28,65.0,674.0,24.86,10.0,TX,2018,0,AUTO_USED,AUTO_USED_670_699,True,None
