as_of_date,loan_id,auto_direct_indirect,auto_new_used,original_balance,current_balance,current_rate,origination_date,maturity_date,original_term_months,orig_fico,orig_ltv,dti_back_end,state,year,days_past_due,product_type,box_id,in_box_flag,exclusion_reason
2025-10-19,53,AUTO_DIRECT,AUTO_USED,14855,121661.43,13.27,2024-09-25,2026-10-25,25.0,698.0,60.65,5.14,TX,2018,0,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,106,AUTO_INDIRECT,AUTO_USED,10046,110751.99,8.83,2025-05-23,2028-06-23,37.0,700.0,93.45,17.15,TX,2015,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,178,AUTO_DIRECT,AUTO_USED,36861,140729.63,12.17,2023-07-18,2027-07-18,48.0,747.0,45.48,22.57,TX,2015,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,251,AUTO_DIRECT,AUTO_NEW,133897,15254.74,10.17,2024-12-29,2027-06-29,30.0,709.0,87.96,4.6,TX,2009,24,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,252,AUTO_INDIRECT,AUTO_NEW,68073,148141.16,16.32,2024-08-10,2027-07-10,35.0,746.0,32.6,12.74,TX,2010,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,278,AUTO_DIRECT,AUTO_USED,132512,64592.71,13.43,2024-10-16,2030-08-16,70.0,718.0,73.71,9.81,TX,2019,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,318,AUTO_DIRECT,AUTO_NEW,47431,10321.72,8.06,2023-07-25,2026-09-25,38.0,748.0,74.95,23.09,TX,2006,28,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,334,AUTO_INDIRECT,AUTO_USED,38586,65257.88,6.15,2024-09-24,2027-06-24,33.0,660.0,81.73,22.97,TX,2018,0,AUTO_USED,AUTO_USED_660_669,True,None
2025-10-19,339,AUTO_DIRECT,AUTO_NEW,114975,118319.17,2.4,2025-06-23,2031-04-23,70.0,706.0,66.44,15.07,TX,2020,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,467,AUTO_DIRECT,AUTO_USED,67998,110787.6,13.45,2021-02-21,2026-09-21,67.0,746.0,82.89,19.14,TX,2021,12,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,523,AUTO_DIRECT,AUTO_USED,73394,139755.64,5.37,2025-05-04,2028-10-04,41.0,671.0,50.29,22.39,TX,2016,0,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,550,AUTO_INDIRECT,AUTO_USED,15572,123402.14,1.02,2024-10-01,2026-09-01,23.0,731.0,45.07,11.79,TX,2019,0,AUTO_USED,AUTO_USED_700_749,True,None
