as_of_date,loan_id,auto_direct_indirect,auto_new_used,original_balance,current_balance,current_rate,origination_date,maturity_date,original_term_months,orig_fico,orig_ltv,dti_back_end,state,year,days_past_due,product_type,box_id,in_box_flag,exclusion_reason
2025-10-19,71,AUTO_DIRECT,AUTO_NEW,19369,15919.01,13.15,2023-09-09,2030-04-09,79.0,674.0,101.48,17.19,TX,2023,21,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,93,AUTO_INDIRECT,AUTO_NEW,31214,90710.44,10.6,2020-02-23,2026-05-23,75.0,728.0,7.14,22.05,TX,2012,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,187,AUTO_INDIRECT,AUTO_NEW,136853,79564.82,8.9,2023-11-07,2026-05-07,30.0,756.0,30.9,41.15,TX,2015,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,202,AUTO_DIRECT,AUTO_NEW,29616,26230.35,2.37,2024-05-18,2030-08-18,75.0,751.0,30.41,48.95,TX,2005,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,212,AUTO_INDIRECT,AUTO_NEW,131759,142222.93,12.49,2023-12-14,2027-03-14,39.0,771.0,80.98,32.47,TX,2017,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,227,AUTO_INDIRECT,AUTO_NEW,17373,27.56,4.54,2024-01-06,2026-12-06,35.0,767.0,29.43,42.41,TX,2021,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,247,AUTO_INDIRECT,AUTO_NEW,19232,74679.06,13.92,2025-08-04,2028-11-04,39.0,777.0,10.06,9.94,TX,2012,19,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,251,AUTO_DIRECT,AUTO_NEW,133897,15254.74,10.17,2024-12-29,2027-06-29,30.0,709.0,87.96,4.6,TX,2009,24,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,252,AUTO_INDIRECT,AUTO_NEW,68073,148141.16,16.32,2024-08-10,2027-07-10,35.0,746.0,32.6,12.74,TX,2010,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,280,AUTO_DIRECT,AUTO_NEW,27597,91786.69,17.18,2024-12-31,2026-09-30,21.0,796.0,6.27,29.51,TX,2017,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,288,AUTO_INDIRECT,AUTO_NEW,64641,79800.39,9.9,2022-09-15,2026-10-15,49.0,780.0,16.66,51.0,TX,2013,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,291,AUTO_DIRECT,AUTO_NEW,139228,103203.5,7.49,2024-06-23,2027-12-23,42.0,791.0,86.43,24.23,TX,2022,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,300,AUTO_INDIRECT,AUTO_NEW,92283,89501.18,1.78,2021-12-01,2026-06-01,54.0,768.0,27.0,23.95,TX,2019,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,310,AUTO_INDIRECT,AUTO_NEW,79374,7613.51,4.78,2024-12-13,2026-09-13,21.0,710.0,113.9,10.11,TX,2011,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,318,AUTO_DIRECT,AUTO_NEW,47431,10321.72,8.06,2023-07-25,2026-09-25,38.0,748.0,74.95,23.09,TX,2006,28,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,323,AUTO_INDIRECT,AUTO_NEW,19759,65442.29,15.78,2019-12-03,2026-11-03,83.0,690.0,110.82,7.87,TX,2016,0,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,339,AUTO_DIRECT,AUTO_NEW,114975,118319.17,2.4,2025-06-23,2031-04-23,70.0,706.0,66.44,15.07,TX,2020,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,377,AUTO_DIRECT,AUTO_NEW,46176,62578.23,10.23,2024-11-26,2027-06-26,31.0,777.0,54.5,31.63,TX,2019,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,404,AUTO_DIRECT,AUTO_NEW,124670,60554.1,10.64,2025-01-12,2031-04-12,75.0,774.0,55.38,19.64,TX,2025,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,406,AUTO_INDIRECT,AUTO_NEW,7799,110672.39,2.67,2023-04-20,2027-01-20,45.0,686.0,1.66,8.84,TX,2007,0,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,409,AUTO_DIRECT,AUTO_NEW,146841,36992.46,1.86,2023-03-10,2029-01-10,70.0,773.0,38.76,46.17,TX,2011,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
